"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","start_time.oa","R_frac.oa","R_start_year.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","start_time.opt","R_frac.opt","R_start_year.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r"
"49",2006,1,64,1881,4019,"yes","no",1704.50028392959,1704.50028392959,13326.5902735887,5.00911834336721,1,2.75780806360023,0,0,2030,1,0,1881,4019,"yes","no",1881,1881,66551.6212415149,5.00911834336721,1,2.75780806360023,0,0,2030,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.196541752971631,0.437463901775567,4.1071734234289,0.449275362318841,1.20646016903435,0.19210731761644
"50",2006,1,64,1881,4019,"yes","no",1704.50028392959,1704.50028392959,13326.5902735887,5.00911834336721,1,2.75780806360023,0,0,2030,1,0,1188.64402308194,2417.20613801978,"no","no",1188.64402308194,1188.64402308194,57163.9403302163,1.98410035950541,1,2.75780806360023,-1,0,2030,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.196541752971631,0.437463901775567,4.1071734234289,0.449275362318841,1.20646016903435,0.19210731761644
"51",2007,2,65,1877.67751801235,4870.70082370429,"yes","no",1804.04370039143,1718.13685751565,14081.1280187536,5.18115059566042,1.04869392390687,2.53946621237933,0,0,2030,2,39.2671346558223,1147.24354175293,2217.88068377334,"no","no",1103.38976976229,1050.84739977361,58741.2229201828,1.83279269616848,1.04869392390687,2.53946621237933,-1,0,2030,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.228755375981188,0.39820380263392,4.7396772164971,0.574468085106383,1.15205658959502,0.223126945346216
"52",2007,2,65,1877.67751801235,4870.70082370429,"yes","no",1804.04370039143,1718.13685751565,14081.1280187536,5.18115059566042,1.04869392390687,2.53946621237933,0,0,2030,2,0,1813.67751801235,4562.56813688796,"yes","no",1901.99259306605,1811.42151720576,67715.9941127372,4.80387816284353,1.04869392390687,2.53946621237933,0,0,2030,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.228755375981188,0.39820380263392,4.7396772164971,0.574468085106383,1.15205658959502,0.223126945346216
"53",2008,3,65,1875.29907839661,5696.9732215259,"yes","no",2133.3357638119,1934.99842522622,16626.0978160704,5.35166982814783,1.21379897785349,2.1984667802385,0,0,2030,3,40.0967899473789,1146.63164520155,2361.59019428973,"no","no",1303.62885822659,1182.42980338013,60552.6996894702,1.85040506682971,1.21379897785349,2.1984667802385,-1,0,2030,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.260364326911498,0.502976540624485,5.08921643427632,0.517647058823529,0.916405664598416,0.254328693797998
"54",2008,3,65,1875.29907839661,5696.9732215259,"yes","no",2133.3357638119,1934.99842522622,16626.0978160704,5.35166982814783,1.21379897785349,2.1984667802385,0,0,2030,3,0,1748.7896586273,5002.76236966055,"yes","no",2122.67910012257,1925.33251711798,69006.011752417,4.59065962357364,1.21379897785349,2.1984667802385,0,0,2030,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.260364326911498,0.502976540624485,5.08921643427632,0.517647058823529,0.916405664598416,0.254328693797998
"55",2009,4,77,1872.83478637762,6355.11457385801,"yes","no",2330.53400369537,2013.20289704815,17224.6940608511,5.48424895800222,1.32112436115843,1.86641113003975,0,0,2030,4,41.1213491656351,1146.85270149059,2464.13030927231,"no","no",1438.38569883459,1242.53164784329,62321.2416410926,1.86490621989353,1.32112436115843,1.86641113003975,-1,0,2030,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.399618091985189,0.675216776112905,5.76191251482962,0.591836734693878,0.810695545777548,0.392680559704867
"56",2009,4,77,1872.83478637762,6355.11457385801,"yes","no",2330.53400369537,2013.20289704815,17224.6940608511,5.48424895800222,1.32112436115843,1.86641113003975,0,0,2030,4,77,1686.26326618346,5215.0671338918,"no","no",2084.0498232685,1800.28059455221,70170.16017562,4.34606891710592,1.32112436115843,1.86641113003975,0,0,2030,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.399618091985189,0.675216776112905,5.76191251482962,0.591836734693878,0.810695545777548,0.392680559704867
"57",2010,5,77,1882.3241735245,6791.12480785178,"yes","no",2559.02565097206,2105.31673611062,16607.8035917086,5.62931966381527,1.44108461101647,1.99432140829074,0,0,2030,5,0,1703.05023172958,5476.94903680302,"no","no",2454.23948073352,2019.10889453141,69594.8735359145,4.47504391396965,1.44108461101647,1.99432140829074,0,0,2030,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.381618341877078,0.745486993434292,5.69780954361475,0.511904761904762,0.988005659761274,0.374836535842161
"58",2010,5,77,1882.3241735245,6791.12480785178,"yes","no",2559.02565097206,2105.31673611062,16607.8035917086,5.62931966381527,1.44108461101647,1.99432140829074,0,0,2030,1,0,1882.3241735245,6791.12480785178,"yes","no",1882.3241735245,1882.3241735245,67410.4908933419,5.62931966381527,1.44108461101647,1.99432140829074,4,0,2030,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.381618341877078,0.745486993434292,5.69780954361475,0.511904761904762,0.988005659761274,0.374836535842161
"59",2010,5,77,1882.3241735245,6791.12480785178,"yes","no",2559.02565097206,2105.31673611062,16607.8035917086,5.62931966381527,1.44108461101647,1.99432140829074,0,0,2030,5,50.8263107012493,1148.07695485983,2395.99718400823,"no","no",1553.1120323752,1277.74911266413,63922.30844083,1.85932053820942,1.44108461101647,1.99432140829074,-1,0,2030,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.381618341877078,0.745486993434292,5.69780954361475,0.511904761904762,0.988005659761274,0.374836535842161
"60",2011,6,77,1891.35810690661,7164.25738524111,"no","no",2759.44756325548,2162.0993708083,16125.5380386737,5.75918856253109,1.54514480408859,2.11655309483248,0,0,2030,6,46.7657347536522,1158.9709048171,2397.15896371395,"no","no",1691.79571104303,1325.56620792132,65474.2720515894,1.89181453723074,1.54514480408859,2.11655309483248,-1,0,2030,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.352498177460642,0.651789082851753,5.77111052579584,0.540816326530612,1.2263700591942,0.345667395136873
"61",2011,6,77,1891.35810690661,7164.25738524111,"no","no",2759.44756325548,2162.0993708083,16125.5380386737,5.75918856253109,1.54514480408859,2.11655309483248,0,0,2030,6,0,1642.15490646433,5344.39048409799,"no","no",2537.36712123193,1988.09353342197,70438.0434530708,4.1731626223565,1.54514480408859,2.11655309483248,0,0,2030,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.352498177460642,0.651789082851753,5.77111052579584,0.540816326530612,1.2263700591942,0.345667395136873
"62",2011,6,77,1891.35810690661,7164.25738524111,"no","no",2759.44756325548,2162.0993708083,16125.5380386737,5.75918856253109,1.54514480408859,2.11655309483248,0,0,2030,2,0,1814.35810690661,6793.53524641521,"no","no",1902.70632250414,1812.10125952775,68567.2970057463,5.28326258117124,1.54514480408859,2.11655309483248,4,0,2030,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.352498177460642,0.651789082851753,5.77111052579584,0.540816326530612,1.2263700591942,0.345667395136873
"63",2012,7,77,1899.96641184582,7486.94252821978,"no","no",2908.6175820122,2170.4552226255,17224.4367476702,5.87650425384608,1.62620670073822,2.35221465076661,0,0,2030,3,0,1748.98417984704,6629.95707329836,"no","no",2122.91520978027,1925.54667553766,69716.8992013168,4.9263581684098,1.62620670073822,2.35221465076661,4,0,2030,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.315561245505721,0.612917034539958,5.66013796698894,0.514851485148515,1.11917238075276,0.309019182412182
